Alas;Indo;Domain;;History;Instructions;Culture/Tourism;Story/narrative;
Malot ku toh kane langkah  kite tuhan si tentuken  ne Jadi ne kite malot toh;;NULL;;;;;;
jinto kereta pelin taboh kase geger sohne jinto mobil pe geheh;;NULL;;;;;;
de cane de mlt bantai lawe alas hamin letttttt;;NULL;;;;;;
jinto perahu ,kae sebab gat jinto perahu kakhene de khak Lawe lebih balap Nye,atope dedak jinto kapal;;NULL;;;;;;
belaja hut dosen hut imbang pul edi imbang pe taboh;;NULL;;;;;;
upacara berbakhis  mengket klas belajakh;;NULL;;;;;;
tandok, ato bahanen bosih Ken kae si polu bosihken, kemesi kekhine;;NULL;;;;;;
tandok, siap siap sikel belajakh Kase khoh bacakh ne;;NULL;;;;;;
kene kae kalak mengataken hal si bahan bahagie;;NULL;;;;;;
kae pelin si Kao bahani ketike ndes ni sekolah ato pe kas mebahan?;;NULL;;;;;;
bahagie let bahanen let ank let laki aman tentram geluh;;NULL;;;;;;
petame tame ku pakek honda;;NULL;;;;;;
de ni sekolah aku mecekhite khut imbang imbang ku pul Edi balik be khumah;;NULL;;;;;;
semoge sukses kae si ku capai ken semoge tecapai;;NULL;;;;;;
tandok te let bahanen bakhu bahani kae si pekhlu kite bahani;;NULL;;;;;;
kae pelin ko lakuken ketike soh sekolah khut kas mebahan;;NULL;;;;;;
sebut Kate Alhamdulillah kakhene selamat ni kas mebahan trus lanjut mebahan;;NULL;;;;;;
melakukan tugas di ni kheken oleh sekolah atope kantokh;;NULL;;;;;;
jadi nakhuk karier dan sukses secara ekonomi, finansial, ilmu;;NULL;;;;;;
cakhene siap Ken be kekhine bakhu gat jinto Honda gat laus;;NULL;;;;;;
"si kulakuken setelah NGO Soh ni kampus palingen jajan mekhokok tandok khut imbang""";;NULL;;;;;;
antat Ken tas me kelas siap Edi de lot piket sapu Ken kelas e de maghe mangan laus me kantin kase dak melohe su nhn belajakh  de gho jam masuk laus masuk;;NULL;;;;;;
hal kae yang kandu bahani ketike sendah ni sekolah;;NULL;;;;;;
hal petame khapiken kas tandok pekhatiken kae si mlt lengkap, lengkapi sebelum medalan waktu mebahan;;NULL;;;;;;
get ate ku senang gembikhe hayak jeme tekhem tule;;NULL;;;;;;
begedime Alhamdulillah taboh, tetap mensyukuri;;NULL;;;;;;
malet taboh kakhene mekhayak kalak penyabu, penangko tukang ngintip;;NULL;;;;;;
HANGATKEN MESIN HONDA PUL EDI BEREKHES2 PAKAIAN UNTUK SIAP KEN MENTAL DIKHI;;NULL;;;;;;
jeme ne mende-mende, dalan cekhite ne sekhu, cerkhite ne nemu jadi pelajakhen geluh;;NULL;;;;;;
jinto perahu atope jinto kapal mu seweken atope maya sendiri;;NULL;;;;;;
ketekhe perasaen mu ketike tading ni kas mu sendah;;NULL;;;;;;
biase plin khayak kalak iri khayak kalak penangko;;NULL;;;;;;
bahagie let keluarge let kalak tersayang mendapingi;;NULL;;;;;;
jadi nakhuk  karier dan sukses dalam fenisilal, dan ilmuuu;;NULL;;;;;;
tandok ,pekhatiken gukhu sedang mengajakh dan ulang khibut;;NULL;;;;;;
belajakh,belajakh,belajakh,khajin belajakh,jajan nukoh kue;;NULL;;;;;;
sedap, rame imbang, kluarge, dan rame tetangge;;NULL;;;;;;
khasene nyaman, tentekham karna rumah e adalah istana si paling ni rinduken;;NULL;;;;;;
kune khase ne tading ni tempat mu sendah;;NULL;;;;;;
taboh kukap bersyukur aku kae si kuheken Allah bangku e nikmati kae si let;;NULL;;;;;;
ate gembikhe get ate bahan pikekhen ate gembikhe;;NULL;;;;;;
ketekhe khasene tadhing ni kas mu sendah nde?;;NULL;;;;;;
kae nale me taboh seru khami tule get ate ku;;NULL;;;;;;
let v hal si kulakuken ketike aku des me sekolah ku adalah buet pepagi hakhus tokh;;NULL;;;;;;
taboh ku kap bersyukur aku khasane tading ni hande;;NULL;;;;;;
khasene bahagie khut ame uwan ku tading tapi lot sedih ne pe de malot sen;;NULL;;;;;;
khasene seru melebihi tading ni kute Kalak akhi;;NULL;;;;;;
bahagie kalihen kakhene khut khang tue tadi adi;;NULL;;;;;;
enoo, te Edi maso tanyak jelas taboh lah pepe ne kau no;;NULL;;;;;;
semoge sehat selalu hal si ni impiken tercape kekhine dan tekhutame mu membahagie ken kedue khang tue ku naik haji ken side amin ya allah;;NULL;;;;;;
bue pemandangan nemu poto poto khut keluarge;;NULL;;;;;;
pekheken  motor  dan letakan helm trus masuk kedalam kelas;;NULL;;;;;;
khasene bahagia tebeken kas ku tading sendah nde;;NULL;;;;;;
senang mbene pikekhen pe ngat, mu selenggi pemandangan;;NULL;;;;;;
SENANG KALIHEN BUE PEMANDANGAN2 MANTAP TABOH NI SELENGEIN;;NULL;;;;;;
bahagie nemu melelo beneken khase payah ni ate;;NULL;;;;;;
aku mekhase senang kakhene hayak kueh buahen;;NULL;;;;;;
eno t Edi maso tanyak jelaslah taboh kukap bage ni sukhge kukap;;NULL;;;;;;
tenang pikhekhen bahane, Bene kekhien masalah bagas ate;;NULL;;;;;;
khase aku jatuh cinte, senang ne ate ku dak melilah dan bahagie ni ate;;NULL;;;;;;
jinto bejak egrut imbang ehrami lot mendalan kiding epe nemu;;NULL;;;;;;
bahagie kakhene khut kluarge, amek, apak, awok, imbang;;NULL;;;;;;
kune ale me taboh lot imbang bujang khut belaghak v kompak taboh me ape lagi let klk koje Ken Nemu nonton kibot;;NULL;;;;;;
khidi be pul edi mangan;mandi dulu setelah itu makan karena sebelum makan harus mandi dulu atau bersih bersih dlu;NULL;;;;;;
khasene dunie nde pepelin Awe ne si kuidah;;NULL;;;;;;
kune khase ne laus me kas tempat libukhen;;NULL;;;;;;
bahagie ne kurase senang su aku cinte khut khamah ku;;NULL;;;;;;
bahagie Ndak te kokhe, serakhe dunie nde milik kite 2 kalak;;NULL;;;;;;
ketekhe ate mu lau kas libukhen di ape kas taboh;;NULL;;;;;;
mele  te ma penah gat me hamah khut imbang kls tule;;NULL;;;;;;
SENENG KALIHEN KAKHENE LET JEME SAYANG YE MANTE;;NULL;;;;;;
senang, gembikhe, tenang kakhne Nemu berlibur me kas impien;;NULL;;;;;;
Bahagielah te libukhen ,ise si ndak bahagie te libukhen;;NULL;;;;;;
khasene bahagie apalagi kalo khut keluarge;;NULL;;;;;;
khase ne bahagie ni mbagas ate,tetapi khase sedih ne pasti let;;NULL;;;;;;
jatuh cinte dak wayang khami ne tekhase dunie miliki sendikhi;;NULL;;;;;;
bene pikekhen nakhen tekhinget iye mangan pe malet inget nae nakhen mikekhi iye;;NULL;;;;;;
si ku khaseken wakhi nde ialah bahagien khut semangat;;NULL;;;;;;
bahagia ne ku khasa libukhen mengato pemandengen;;NULL;;;;;;
sehat, bahagie me pokok ne, tetap bersyukur;;NULL;;;;;;
jatuh cinte hal si malet nemu ni cekhok ken sebab nye terjadi secakhe ndak sadakh;jatuh cinta hal yang tidak bisa di ceritakan sebab dia terjadi secara tidak sadar;NULL;;;;;;
mebunge ate ku bahan ne mangan v mlet seloh nange setiap waktu Nate ne jumpe;;NULL;;;;;;
abeyyyyyyyy Wase  bahagie ne kukap ketike jatuh cinte me jeme si get ate ku e;;NULL;;;;;;
bahagie bersyukur sebab bue imbang imbang ku;;NULL;;;;;;
aste malet penah aku nge jatuh cinta, malet ku toh nge ketekhe khase ne;;NULL;;;;;;
berbunge bunge, hati merasa bahagie dan senang;;NULL;;;;;;
khase ne dunie de pung kami due alak amin te kami jatih cinte;;NULL;;;;;;
senang ne pe luakh biase kakhene impien laus me kas si kite impi ke;;NULL;;;;;;
kae si ko khaseken ni bagas wakhi nde si ko khase ken;;NULL;;;;;;
bahagie membahan kae v bahan semangat de tekhinget ye;;NULL;;;;;;
bahagie, khakene dapet sen lima;;NULL;;;;;;
si Khu khase Ken sendah melohe capet mate ku magan ke ku;;NULL;;;;;;
bahagie kakhene khut keluarga,Amek,awok,nggek;;NULL;;;;;;
aku senang, bahagie, payah, bersyukur untuk wakhi nde;;NULL;;;;;;
bahagie,sedih campukh aduk malet gat senenakhen senang lot nge sedihne;;NULL;;;;;;
kae si kao khase ken wakhi nde ni hande bagas nde;;NULL;;;;;;
belajakh, kae si khe gukhu tugas ,dedak belajakh sendikhi Kane lebih aktip;;NULL;;;;;;
kae kae pelin si Kao khaseken wakhi nde?;;NULL;;;;;;
bahagie te nemu lua khut imbang nemu jumpe khamah;;NULL;;;;;;
PAYAH MALET SEMNAGAT AKU BAHAN NE KAKHENE DEKAH SU ACAKHE DE MALET SELESAI2;;NULL;;;;;;
Alhamdulillah wakhi nde baik baik plin mu tong ni kheken kesempaten geluh bahagie;;NULL;;;;;;
dage kami lausen gekhupus ,hp v gat tading pakde ulihi tule me khumah ku;;NULL;;;;;;
De bagas sekolah  bue ilmu si polu  kite belakha di bagas geluh  kite die;;NULL;;;;;;
wakhi nde aku mengikuti pelatihen aplikasi khut kiki;hari ni aku mengikuti pelatihan aplikasi dengan kiki;NULL;;;;;;
pagi nde aku laus me pelatihen dan jump khut imbang imbang ku;;NULL;;;;;;
senak kalihen tule medalan nemu gedi pe melelu hp dan lajang jito lereng;;NULL;;;;;;
buet medem langsung khidi siap ndi laus me sekolah;;NULL;;;;;;
cekhiteken kae si tekhjadi ni bagas wakhi nde;;NULL;;;;;;
bahagie te jumpe khut khamah ku dak nale me senang ate ku;;NULL;;;;;;
wakhi nde aku khut pelatihen khut imbang kuliahku;hari ini aku ikut pelatihan sama teman kuliah ku;NULL;;;;;;
bahagie kakhene dapet sen wakhi de lime puluh khibu dapet kueh tule;;NULL;;;;;;
bue pagi basuh pikhing masak nyapu nesah khidi;;NULL;;;;;;
BUET MEDEM SEGEKHE KAKHENE LET JOB UNTUK BONGI NAHAN MAIN GAME TARUHEN;;NULL;;;;;;
te malet pas kukap dan gajime kukhang kukap,me tadingken lah;;NULL;;;;;;
pengalamen ku wakhi nde mengikuti pelatihan aplikasi ikata khut dea;;NULL;;;;;;
cekhiteken kekhine pengalamen mu wakhi nde?;;NULL;;;;;;
ku sebut skali akhi bahagie khakene dapet sen lima puluh khibuh;;NULL;;;;;;
beltuk ban  honda ku dage gat khoh anak aki gat bah ne aku;;NULL;;;;;;
bahagie kakhene lot kesempaten pengalamen untuk ni hande tandok;;NULL;;;;;;
bahagie,khagene dapet sen lime puluhg ghibu;;NULL;;;;;;
pengalamen ku wakhi nde ialah aku ngajakh tapi ku tadingken siswa ku;;NULL;;;;;;
pengalaman ku akhi nde bue salahk Sade ne bahagie;;NULL;;;;;;
bahagie dapet sen 50 khiiiiiiiiiibuuuuuuu?;;NULL;;;;;;
?;;NULL;;;;;;
bahgie ku idah kass libukhen aku kelok bahagie te libukhen;;NULL;;;;;;
cekhiteken pengalaman ndu pada wakhi nde;;NULL;;;;;;
sekhru khut imbang melelo lot imbang cekhrite laus bedih bende gat ban Honda v betuk gat bah me bengkel;;NULL;;;;;;
kene kae ko tadingken bahanen si ko pilih;;NULL;;;;;;
MALET AKU TOH KAKHENE AKU MALET ME BAHAN SEKALI PE;;NULL;;;;;;
payah atau pe let bahanen lain si lebih mejile;;NULL;;;;;;
malet sanggup aku nae mebahen pot ten ate magan medem pelin ni khumah;;NULL;;;;;;
sebab memilih adalah hal si ni akhus ken bagas geluh nde;;NULL;;;;;;
karene pekerjaan ku malet taboh su dambah tuleh kepalene pepelih mengas;;NULL;;;;;;
kahene endak sesuei dengan yang kite harapken;;NULL;;;;;;
rasene bahagie ate ku, ngidah kalak khami;;NULL;;;;;;
milih pekerjaen ku, kakhene mebahanku taboh ku kap ngajakhi anak muhird ku;;NULL;;;;;;
kakhne aku butuh bahanen, kakhne aku payah, kuluahi bahanenku kakhne malet sanggup;;NULL;;;;;;
kane aku lapes  bahan si Kane gaji malot stabil  me pokok kebutuhan  kite;;NULL;;;;;;
sungkun me mak e mak aku laus de khut imbang ape sen ku;;NULL;;;;;;
medalan kiding kakhene denoh Hamin de dakhi khumah;;NULL;;;;;;
khut honde, mokhor, mendalan khiding pun bisa khepot so bongi;;NULL;;;;;;
kune cakhe Kase mu laus ni pantai terdekat kute mu;;NULL;;;;;;
atukh jadwal si malet lot sibuk te malot jadwal pasti nemu di;;NULL;;;;;;
malet let Pante ni kute kami nde dauh hadih kas npe ,jadi siapken be sen bakhu gat nemu laus me pante;;NULL;;;;;;
MEHONDA TENDAK PE ME MOTOKH KHUT IMBANG2;;NULL;;;;;;
mlet khami su bahan ne mlet pet su aku Hadi bue su angkat telukh jeme ne;;NULL;;;;;;
kakhene payah su bahanen pe gaji ne pe malet pas bos ne pe kejam;;NULL;;;;;;
ketekhe kin cakhe ne Kane Nemu laus me Pante si ndoho ni kas mu?;;NULL;;;;;;
mangan khut khut imbang,masak khut khut tule,pul Edi gat laus Khidi khami khami;;NULL;;;;;;
ketekhe cakhe kao laus me laut denoh khumah mu;;NULL;;;;;;
Bahagie te dapet sen ,dapet penagan tule, ise si ndak pot;;NULL;;;;;;
jinto honda bakhu laus me pantai e khut imbang imbang;;NULL;;;;;;
belajakh bahase alas ni sd Azzahra khut imbang kuliah;;NULL;;;;;;
mlt let pantai ni kas ku lawe manun amin let;;NULL;;;;;;
MALET AKU TOH HANYA ALLAH YANG METOH SE KEKHIME;;NULL;;;;;;
malet salah kae pe jemene amin si salah, kakhene malet te khawat ne dunie;;NULL;;;;;;
malet ke majuen kehopsi bue su te bage kite de malet kite toh;;NULL;;;;;;
jinto Honda atau jinto mobil dan babe sen;;NULL;;;;;;
malet let kukap salah,aku geluh ni dunie nde v ngo bersyukur si khe ken Allah e;;NULL;;;;;;
pakati imbang de pot ye luas gat khidi bah baju Poto Poto khut imbang e bah Nakan bedih kase me khut mangan;;NULL;;;;;;
malet salah ni dunie nde masalahne ni manusie ne;;NULL;;;;;;
Babai imbang khami pul edi gat laus tekhem tekhem jinto motokho;;NULL;;;;;;
kukhangne jeme si jujukh dalam menjabat, kukhang santun Bagas melajani masyarakat;;NULL;;;;;;
didaekha kami tidak Ade Pante yang Ade kali yaitu kali alas;;NULL;;;;;;
bue dose  bahan kalak jadi ne kita bue kesalahan kite Dan wajib kite mekalih;;NULL;;;;;;
malet kae pe yg salah khut dunie nde, yang penting kite selalu bersyukur;;NULL;;;;;;
jinto mobil pelin geher soh ne te mendalan dekah soh ne;;NULL;;;;;;
kae kin si salah tebheken nibagas dunie nde?;;NULL;;;;;;
hande malet pantai lawe matang hamin let, nde sikel laus khidi me lawe matang medalan pelin lewati jagung kalak;;NULL;;;;;;
jalani alukh ne pelin maso sibuk ukhusen kalak;;NULL;;;;;;
malet salah dunie de si salah isi dunie de kakhene bue su jeme sibuk;;NULL;;;;;;
cakhe ku untuk laus me pante jamur mamang, ialah let kendakhaen ku;;NULL;;;;;;
kakhene adu doba jeme khut jeme panas lah kekhine edi, jadi ngat lot tule kalak mulai se;;NULL;;;;;;
kakhne mebelinken masalah si cut jadi mebelin;;NULL;;;;;;
mungkin kakhene let salah satu ikhi dengki,sehingge muncul pekhang e;;NULL;;;;;;
dunie nde kas kalak si mementingken dikhi sendikhi kekhine;;NULL;;;;;;
mlt let salah de dunie de,letpe si salah jeme jeme ne,si mlt patuh me agame ne masing masing;;NULL;;;;;;
kakhene let perselisihen atau pe salah faham;;NULL;;;;;;
kakhene lot kalak si Ndak penah mekhase dikhine salah makane menjadi perang;;NULL;;;;;;
kakhene hayak musuh Edi me gat bahane pet pekhang dunie;;NULL;;;;;;
selengi imbang bahan tawanen pasti tawe bahan ne di;;NULL;;;;;;
Kane saling  menyakiti  ate jadi gat perang iye gat;;NULL;;;;;;
jhintoh honda, jhintoh motor, motokh seweeeeeeeeeee;;NULL;;;;;;
kae si salah ni bagas me dunie nde imbang;;NULL;;;;;;
kakhene malet sependapat malet sebuah jawaben;;NULL;;;;;;
kerecehen humor, ngidah imbang lucu atope khami;;NULL;;;;;;
kakhene let keselihen khut kesalah pahamen;;NULL;;;;;;
kakhene lot kalak si mekhase malet penah  salah dikhine;;NULL;;;;;;
kahene malet sesui di bagas ate edi kane let pehang sabi sabi iye;;NULL;;;;;;
terkhlalu bue dose manusie kakhene mengikuti hawe nafsu ne;;NULL;;;;;;
karene satu suku egrut suku lain ne malet su akur ne;;NULL;;;;;;
khut khut imbang ku hal si bahan aku tertawe senakhen te khut kalak di bahan aku bahagie;;NULL;;;;;;
khut imbangku,megukho malet nemu citok pe gat Tawe t ngo gabung kami kekhi ne;;NULL;;;;;;
lucu atau pe let bahan lucuen kase pe ye tawe;;NULL;;;;;;
kae kin mahan se pekhang Nemu tekhjadhi?;;NULL;;;;;;
kakhene jeme salah satunya mecekhok dan get ricuh;;NULL;;;;;;
gato Kalak dabuh gato kalak mekhamah Edi bakhu khami kukap;;NULL;;;;;;
malet te salah ken ngeluh ni ndunie nde kakhene ngo bahagie;;NULL;;;;;;
mangan khut khang tue, sudakhe, khami khase ne;;NULL;;;;;;
mangan khut keluwakhge ku kekhine edi me palinh senang aku kalihen;;NULL;;;;;;
bueee, khakene aku typo cekhok kale khut malaikat pas nanya 77x pot padahal sampe duniye pot balek;;NULL;;;;;;
khut khut keluarga tekhem tekhem dan sambil megukho;;NULL;;;;;;
mangan bebongi khut mae pae ku, pul edi mu cekhite;;NULL;;;;;;
mencekhiteken tentang kalak random ni kampus kami nde;;NULL;;;;;;
tandok khut khut imbang ku tawe tawe khut khut;;NULL;;;;;;
khut khamah aku malem minggu e khoh iye ni khumah ku gat lua kami magan;;NULL;;;;;;
KAKHENE UTANG , KAKHENE NAK KHU , KHUT MASALAH2 KLUARGE;;NULL;;;;;;
bueee khakhene aku typo cekhok kale khut malaikat pas nanya?;;NULL;;;;;;
mangan bongi tekhindah ku ialah mangan khut keluarga ku;;NULL;;;;;;
hal si khami,contoh ne bage,tandok khami khami khut imbang,sambil Tawe Tawe kan;;NULL;;;;;;
cekhiteken mangan bongi mejile ko kap ni kota;;NULL;;;;;;
kakhene lot khibut ni antakhe jeme jeme i dunie;;NULL;;;;;;
mangan bue imbang nakan taboh bue makanen;;NULL;;;;;;
sante khut keluakhg, sepuk ni ketambe, khami-khami;;NULL;;;;;;
ketike mengenal cite khasen ne indah bage ni sukhge kukap pe gat;;NULL;;;;;;
cekhiteken tentang mangan bebhongi thekhindahmu?;;NULL;;;;;;
kkn adalah hal si paling tekhindah si ku khase ken sebab khut khut imbang ku si wayang khami ne;;NULL;;;;;;
pengalaman terindah ku khut pelatihan aplikasi ikata kakhene ngo aku toh aplikasi ikata mu tukakh ken poin khut pulsa;;NULL;;;;;;
te makan dodol egut cimpe taboh di apelagi  magis pe taboh kane;;NULL;;;;;;
mangan bonggi khut keluakhge khami kahmi;;NULL;;;;;;
mengket khumah sakit, suntik ne pantat ku;;NULL;;;;;;
mangan bonggi khut kelurgeeeeeeeeeee dan khami  khami;;NULL;;;;;;
penah nentung dinding khumah ku pake honda sampe jebol;;NULL;;;;;;
pengalamen tekhindah ku ialah lajang khut imbang -imbang ku;;NULL;;;;;;
mangan bonggi khut Kheluakhe hami hami khut Kheluakhe;;NULL;;;;;;
jumpe kepin setiap wakhi dan pangan bakso;;NULL;;;;;;
kahene malot sesuaini Bagas ate Edi Kase pekhang;;NULL;;;;;;
bocor ban gat dukhung wayang dauh ne tapi khami sebab khut khut imbang kekhine;;NULL;;;;;;
lijik icing manuk pas laus sekolah imbang kebaunen mele aku;;NULL;;;;;;
malet kae pe indah,pepelin mesui ate ku,malet ku gup;;NULL;;;;;;
PENGALAMAN INDAHKU MEKHAMAH AKU BABE NAK KHU ME KUTE KU TEKHUS PUL EDI KAMI MECEKHITE2;;NULL;;;;;;
letpe pengalamen khami si kukap bage ,ngarung jeram khut imbang,khami khami;;NULL;;;;;;
cekhiteken pangenen bahagie muuuuuuuuuuuuuu;;NULL;;;;;;
Pangan  di bagas puase  me family  edi  paling indah di bagas geluh  ku;;NULL;;;;;;
te malot taboh me tayak Ken me kalk si toh e;;NULL;;;;;;
mungkin dang stres atau pe bue su pikkhen ni otak;;NULL;;;;;;
kane ukhok idah kalak, bacakh idah kalak, bahagie aku mege se;;NULL;;;;;;
ape ku toh,Edi pot ku sebutken,Edi si tersebutken;;NULL;;;;;;
die aku lasuh me medan soh adi aku lajang lajang egut imbang ku kas sante  me;;NULL;;;;;;
te malet ukhok  edi makanse tayak jeme si ukhok e;;NULL;;;;;;
terkadang berfikir adalah hal si paling membosan ken;;NULL;;;;;;
dengan cakhe sepuk in sen lebe dan gakhami;;NULL;;;;;;
kene kae kdang kadang kau menceriteken tentang Ndak kau toh;;NULL;;;;;;
kakhene lukah bue pikengen ,gat mlt nae tenang,bage klk linglung gat bhn ne;;NULL;;;;;;
untuk tenang ken dikhi ne kase press otk ne;;NULL;;;;;;
KAKHENE AKU BOSAN DAN MALES AKU MEGE BUE CEKHITE LAWAN MECEKHOK;;NULL;;;;;;
kee kae jeme membutuhkan sebuah libukhen;;NULL;;;;;;
kase ndak setkhes khut gile khut ndak suntuk;;NULL;;;;;;
kakhene kalak butuh kas untuk tadi sejenak melupakan dunie;;NULL;;;;;;
kakhene mungkin kalak di mumet senenakhen ni khumah;;NULL;;;;;;
kakhene ulang setekhes, ulang gile, kakhene masalah e;;NULL;;;;;;
kakhene bahagie ake si impiken ne terkabul ken;;NULL;;;;;;
kakhene bahagie kase ye cekhem atau v let kadang lucu;;NULL;;;;;;
Kase dak papelin nikhumah plin ulah laus lah lajang;;NULL;;;;;;
kene kae kalakkkkk cihemmmmmmmmmmmmmmmmmmm;;NULL;;;;;;
kakhene bahagie atau p jumpe khut imbang ne;;NULL;;;;;;
sebab te ndak libukhen pening takal bahan ne buah pe libukhen salah satu kas si bagi ku bahan aku tenang;;NULL;;;;;;
kakhene tule mekhase manek i terhadep jeme;;NULL;;;;;;
kakhene senang dan gembikhe di bahan khamah;;NULL;;;;;;
mege Ken cekhok si lucu dan mungkin Kane kalak e mencekhiteken tentang pengalamen ne si lucu;;NULL;;;;;;
kakhene bahagie, jatuh cinte , ato dang dapet sen mekhayak;;NULL;;;;;;
AKU MALET AKU TOH KAE SEBAB NE KALAK SENYUM;;NULL;;;;;;
TE AKU SENYUM KAKHENE NGIDAH SENYUM NAK KHU MEJILE SENYUM AKU PE;;NULL;;;;;;
kase mlt setekhes menghibur dikhi sendikihiiiiiiii;;NULL;;;;;;
kase malet setekhes menghibur dhikhi sendirkhiii;;NULL;;;;;;
kakhe de cikhem ee Bagas Islam pe ibadah,jadi mejile depet cikhem khut sesame kite,Bali gelakh ne bage silahturahmi;;NULL;;;;;;
dengan cakhe mehonda, ato pedalanenn mu jahanja pokok ne;;NULL;;;;;;
ketekehe cakhe ne nemu soh me kotaaaaaaa;;NULL;;;;;;
Khusang  gat belagar  khang alas ne gat kane narkoba  die hancur gat;;NULL;;;;;;
ketike kite libur taboh bahane pikerin kite tebang damai edi me kite harus liburan;;NULL;;;;;;
cinto motokh sewe atau pe honda kase ndes me pusat;;NULL;;;;;;
jinto Honda gakhami dalan si malet bue jemene atau si Ndak macet;;NULL;;;;;;
dengan mengguneken Honda atau mengguneken mobil;;NULL;;;;;;
memotokh siap di laus bedih melohe tuke ku pe;;NULL;;;;;;
jintoi honda ni dalan khut imbang kite khami;;NULL;;;;;;
penah, sui ate ku Edi Kase dempik aku, apalagi sikel langakh Honda aaaaa;;NULL;;;;;;
mbah honda balap kase gekhe soh me kas tujuen;;NULL;;;;;;
ape kah kau penahk mesolek, kene kae?;apa pernah kau berdandan ? karena apa engkau berdandan;NULL;;;;;;
MEHONDA ATAU PE ME MOTOKH ATAU PE MELEKHENG ATAU PE MEDALAN KIDING;;NULL;;;;;;
