Alas;Indo;Domain
tenggo pakek Kate sopan pelin bage Sinak atau jabu;;Instructions
petame cikhemi iye te cikhemi ne balik dohokhi sapa ye cekhite khut iye;;Story/narrative
cakhe jumpe khut kalak bhakhu kane menakhik jumpe tanpa sengaje, kite tandai misalne dhang let kegiaten gat mekhadhu nebhutken gelakh;;Story/narrative
tentang dunie pekerjaan ni kutecane nde khutkhut kehidupan ande;tentang dunia pekerjaan di kota cane di sini sama sama kehiduan di sini;Story/narrative
sipaling kusukai Bagas dikhiku jujukh,khut sabakh;;Story/narrative
nangat aku metohi kune khase ne jadi gukhu ni sekolah-sekolah;;Story/narrative
si ku ingin tau i rentang aku belin jadi kae pot ,gedi me da malet ku thoh ne;;Story/narrative
mengenai tentang pembelajakhen umum bage kimia fisika dan lain lain;;Story/narrative
si aku sukeii khut dikhi ku sendikhi kepedeen ku kakhne geluh de hakhus pede;;Story/narrative
si paling si ku sukai bagas dikhi ku  jujukh khut nnepuhi okhang tue;;Story/narrative
jujukh sabakh tenang berdamai khut keadaan kite masing masing;;Story/narrative
aku malet sombkhong aku nde malet gat mejile mejile te bue kalak get ate kidah cikhem ku aku pe ma pecaye gat da kalah sebut aku bacahk te menukhut ku malet gedi;;Story/narrative
Dengan cakhe mengeket  Bagas organisasi ni bidang kae pe;;Story/narrative
pebual, pekakhup hobi iye cekhok i kalak;;Story/narrative
malet ku thoh kae pe,Adi bage tentuken na ku teh pe lang;;Story/narrative
si ku ingin tau i tentang aku belin jadi kae pot ,gedi me;;Story/narrative
menukhutku sifat kalak e sifat dengki, iri, susah ngato kalak senang;;Story/narrative
khalak na sok banyak melelo na ma kenal waktu;;Story/narrative
pebual hobi nekhok i Kalak pekahup khut pebual;;Story/narrative
penangko,nyabu Kalak melawan me khang tue ne;;Story/narrative
sifat bukhuk si mudah kene miliki sifat kesombongen;;Story/narrative
aku menjile khut belang Babah ma kau pang;;Story/narrative
si jelas ne Ndak baik, pebual, Ndak jujukh dan lain sebagai ne;;Story/narrative
mudah ngambek khut jengeng pemegas khut cekhewet;;Story/narrative
pebual penangko khut kalak pebual penyabu khut kalak pebual pekangking tule pe nipu;;Story/narrative
sifat si Ndak Mende dakhi Kalak sifat ikhi dengki khut kalak;;Story/narrative
cakhe nyimpan sen kune Kase metambah khut cakhe sembahyang agame;;Story/narrative
cengeng pemengas khut jekhagan hobi mengas mengas;;Story/narrative
menukhutku sifat bukhuk si let nimiliki seseokhang adalah males;;Story/narrative
hal aneh ni dikhiku medalan sade bage kalak gile;;Story/narrative
nangat mejile tapi males khidi khut pekhawaten;;Story/narrative
hal aneh pade dikhiku malet kae v si aneh pade dikhiku;;Story/narrative
makanen ne akhus sedap khut menimati tempat ne;;Story/narrative
ngoh hangat Ende nahan ma ku tempuhi kaoo;;Story/narrative
memilih kawan malet pet mekhibang khut Kalak malet khate;;Story/narrative
ngidah imbang ndak wayang putut ne kakhene edi si paling ku panek;;Story/narrative
si nyaman udah ia,nca enak  pangen na Adi si pan;;Story/narrative
tentang khase mecokh ape Ndak taboh ape ndak;;Story/narrative
hal si ku pekhtimbangken kas si sedap makanen ne;;Story/narrative
bage cafe, lesehan khumah makan sipaling mukhah tapi sedap;;Story/narrative
tata pencerok khut ilmu agama si mendene;;Story/narrative
kebuenen ku dapet malet menghakhgai usahe kalak lain khut malet metoh Mido mekhijin;;Story/narrative
Ndak kepe Tuhu niet mu die khut aku mekhumah tangge;;Story/narrative
sifat si terburuk ni bages jeme Edi sifat iri khut sombong;;Story/narrative
kas mangan bage kafe bage pajak nasi khut ni khumah ku;;Story/narrative
suasane ne akhus mejile khit adem nemu kite eyani;;Story/narrative
si taboh kas ne khut taboh imbang nakan ne si beskhik khut khame kale ne kase taboh kumpul;;Story/narrative
kas mangan si tenang te ndak tenang mlt pot su mangan bahan ne buah akhi kas mangan khayak nakhu ne;;Story/narrative
ni bawan khut imbang pemandangen Mende taboh mate nelengise;;Story/narrative
pekhtimbangen ku bhagas menentuken kas mangan bhiase ne kasne bekhsih, sedap, mbhue pilihen imbang nakan ne;;Story/narrative
dabuh ni batang kayu jambu mahan se aku nakhen tekhinget;;Story/narrative
kisah mase ndube, bage cekhite silayakh khut bekhu dinem;;Story/narrative
sesuatu si menghibur ato pe cerite si Mahan Mase depan cerah;;Story/narrative
khidi khut nekkuh nenekku nilawe ger ger;;Story/narrative
momen si malet aku Nemu aku lupen Ken pas aku pukuli nenek tikhi ku;;Story/narrative
bahagie ne aku ngeluh di Bagas khari khari ne ende;;Culture/Tourism
cerite si Nemu di bagi khut imbang cerite lucu si ni alami saat sikel me kampus;;Story/narrative
pertualang cari buah gembiri khut imbang imbang min diye;;Story/narrative
sedih khut gari ni sakati khut ji keceweken;;Story/narrative
ketika ninikku nadingken kau untuk selamaene;;Story/narrative
cekhite lawak si Mahan imbang ku Tawe kekhine khut tingkah ku si lepak si Mahan kalak tawe kekhine;;Story/narrative
melelo khut imbang si aku sayang khut kalak kalak baik mejile khupe ne sipat ne khut pet nasehati kite;;Story/narrative
bage bungkih ni tenge lautennn khakhang ni bahan sang gelombang;;Story/narrative
mene khang tue ni saat butuhne dukungen dakhi khang tue;;Story/narrative
sifat-sifat sepaling bekhuk demu ni memiliki  bangas seokhang adalah sifat iri belekjer;;Story/narrative
sekhing dahuh mehonda dak watang mesui ne v;;Story/narrative
pengalamen bage mebahan ni bengkel kalak si hampekh aku meseng ken;;Story/narrative
si ni pertimbangken ketika milih kas mangan khase makanen ne khut bosih kas tandok ne;;Story/narrative
melelo lato lato kakhene bakhu edi kidah leloen si khayak kalak pot walope khak hp akhi;;Story/narrative
ketike kau khut keluargaku mangan mangan ketkhut;;Story/narrative
tentang kae si nmu ukhuk kite ato awene;;Story/narrative
cerite si Ndak terlupeken aku semase anak anak Edi ni mengasi jeme karene aku nangko;;Story/narrative
si paling berkesan jalan jalan me belang kejeren khut keluakhge;;Story/narrative
malet kae v pengalamen si mengesan Ken dahi budaye kalak lain bagi ku;;Culture/Tourism
Gati melelo Khut imbang Sampek lupe waktu;;Story/narrative
khase  nangat metoh budaye kalak di  ni geluhne;;Culture/Tourism
melelow khut imbang lajang lajang pas pramuka diye khut amek tule lajang ke kampung halamaen ne;;Story/narrative
"Syahril ato p pidato telu alak jeme laus me kecamaten "" kalak untuk Mido khut tanding pesanekhen akhi";;Story/narrative
ateku sakit segale bujang khetike Khu oandang;;Culture/Tourism
khase nangat metoh de budaye kalak di ni geluhne;;Culture/Tourism
aku pekhnah juakha kelas ni sekolah ku akhi SD soh SMA;;Story/narrative
lajang khut nakhu kakhene aku edi si taboh ne kadang;;Culture/Tourism
ndai nari e sungkunimu,nggom ndai nari ku katakan lalit e lallit;;Culture/Tourism
interaksi si ku alami ngato budaye Kalak di ndak bede jauh khut budaye ku;;Culture/Tourism
pengalmen sipaling mekesan Bagas geluhku adalah mekhimbang khut jeme bede budaye;;Culture/Tourism
terkesan kakhene metohi budaye Edi khut ikut serta;;Culture/Tourism
Made jikene ie ku pandang Ende jaman sendah;;Culture/Tourism
si paling berkesan bage acara pesta kakak ku, acara manortor pake uwis adat ulos;;Culture/Tourism
terkesan kakhene nangat metoh i se budaye khut serta;;Culture/Tourism
terkese kakhene nangat metoh Edi v kadang;terasa karena ingin mengetahui itu pun terkadang;Story/narrative
"Syahril Qur'an pesantekhen ku akhi khut imbang "" ku si sedie laus dape p khut untuk laus tanding";;Culture/Tourism
bahagie metohise khut pengalanen kite selame ne;;Story/narrative
bahagia metohise khut pengalmen mangan mangan khut;;Culture/Tourism
pas kalak nading ken edi menginget ken ku tentang ke salahen ku setiap wakhi;;Culture/Tourism
mase si ndak tekhlupeken waktu cutku bue, langui-langui lawe pakikh, muet ikan be kolam kalak si sedhang ngakhohi, ngelakh gembikhi be deleng;;Story/narrative
pengalmen si paling mekesan ni Bagas upackhe agameku adalah maulid nabi;;Culture/Tourism
senang ate Ndak tekate de ngo kumpul Tawe khut khut;;Story/narrative
sanget senang khut bahagie kitike kite kumpul khut okhang tur;sangat senang dan bahagia saat kita berkumpul dengan orang tua kita;Story/narrative
let aku khut takhi daekha menjamu kalak belin kute cane nde edi pengalam aku si paling get ate ku oye edi pelin aku pe pehknah khut mangan taboh;;Culture/Tourism
si bermakne dakhi acara agame seperti maulid nabi aku menjadi pembawa acakhe ne;;Culture/Tourism
tanding untuk babe gelakh pesantkhen ku akhi laus me camat Kalak ngemis untuk ni babe tanding;;Story/narrative
ngko saja si ndarami na teh;;Story/narrative
dapet pengalamen mbakhu untuk nggeluh Mase depan;;Story/narrative
tentang kegagalan ni Bagas ngeluh nde dan nijadiken pelajakhen;;Story/narrative
tentang kegagalen ni bagas ngeluh kite  dan ni jadiken pelajakhen;;Story/narrative
pengalmen si paling mekesan Bagas keluakhgeku kompak;;Story/narrative
mangan cimpe khut mek ku tambah tule khami khami uh edi me si paling get ate ku;;Story/narrative
ngak Kao bahagiene aku khut Kao ngeluh kae dak Kao pang;;Story/narrative
tentang keluarga khut imbang imbang ku sikusayangi;;Story/narrative
tantang keluar kite khut imbang te si kite sayangi;;Story/narrative
belajakh ni sekolah umum untuk mempelajakhi ilmu agama khut ilmu umum;;Story/narrative
khut pramuke laus dakhi khumah 4 wakhi lime bongi pasang wapi unggun khut imbang imbang ku;;Story/narrative
pengalaman ne suke cekhite tentang mase kecil khut amek ku kale suke bang kak ikan khut imbang ku ni sengai;pengalaman nya suka cerita tentang masa kecil dengan ibu ,suka nangkap ikan bersama teman di sungai ;Story/narrative
ngato jeme sukses edi mahan aku tekhmotifasi sehingge mahan aku giat belajakh;;Story/narrative
aku pekhnah dabuh akhi Honda Edi me si mengubah hidupku;;Story/narrative
Ndak sanggup khaseku nahenken kaharang ni bahan sang gelombang;;Story/narrative
pesantekhen 6 tahun menuntut ilmu agame khut babe piala me khumah ku;;Story/narrative
iye si mempekhatiken kite tentang kite ni bagas ngeluh te;;Story/narrative
nekkhuhku nenekku khut mame ku maeku paeku;;Story/narrative
NGO khi Bene selukhu harapen ngeluh ku Kao bahan;;Story/narrative
cakhe aku belajakh kehidupen ni sekolah dan ni kas mace;;Story/narrative
mame ku khut mae   awok ku khu mame ku;;Story/narrative
mame ku si bantu aku masuk ke kampus Edi me soh bende cekhite ku;;Story/narrative
Ndak kepe Tuhu niet mu dieee khut akhu merumah tangge;;Story/narrative
ketike aku dang sekhik mlt ise pe pot bantu se aku;ketika aku sedang susah engak ada siapapuk yang mau bantu ya aku. ;Story/narrative
abakh dan tabah jalan ken kehidupen kite ni dunie;;Story/narrative
keluakhge khut imbang imbang ku khamahku khut mantan ku tule nggek ku khut kakak ku ninik tule;;Story/narrative
tentang geluhku khut keluargaku ni Bagas geluhnde;;Story/narrative
tentang geluhku khut keluarga bagas geluhku ni hnde;;Story/narrative
lawe pangkat kakhene edi lawe ne khayak malet ise pe si paling ku jilei;;Story/narrative
pengalamen si paling signifikan Bagas geluh ku adalah tercapene cite-citeku;;Story/narrative
aku penah ni hianati anak laki si mejanji ndak nadingken aku malahen iye Lebe laus makanse dakhi pade Edi mulai Adi akhi malet nae ak pecaye me gelakh ne janji;;Story/narrative
keadaan si menantang si ku alami pas aku jage Ninik ku si sakit dan ngigo pas bongi;;Story/narrative
jujukh sabakh tenang berdamai khut keadaan kite masing masing sendah;;Story/narrative
bekhu dinam khut silayakh nipisahken tapi ni jumpeken tule;;Culture/Tourism
bekhu dinem khut silayakh nipisakh ken tapi ni junpe ken tule;;Culture/Tourism
malet ku toh kae pe nde nggo pusing takal pe;;Story/narrative
cekhite khakyat tentang bekhu dinem khut silayakh;;Culture/Tourism
Ende tule Tah kae kae nimu pe malet soh pikikhen ku hadi;;History
kisah silayakh khut bekhu dinam nage kesiangen;;Culture/Tourism
kehidupan khut pengetahuan kite nibagas ngeluh nde;;History
uwe ende ku cekhiteken asal kau senang kae nale me aku nde kae nale me khimah kute;;Culture/Tourism
lawe alas air terjun kute lu khut kute amek ku sedam diye wayak su kenangan ne khut ku kolam khenang khumahku;;Story/narrative
malet ku toh kae pe kataken ulang buwe su pertanyaan kae kin;;History
jaman ne ngo mekhubah khut bue pekhubahen me manusie sendah;;History
si penting belajakh pelin nggo maso buwe su pertanyaan;;History
sejakhah sipaling penting Bagas manusie adalah pepekhangen belande khut Indonesia;;History
ngoo Edi malet soh pikikhen ku hadi sinak;;History
sen khut imbang imbang pengkhuk beli nihidup kete nde kase bahagie kite semue amek ku pe gedi cekhok me;;History
malet ku toh kae pe nde nggo pusing takal pe nde nggo pusing takal pe nde;;History
belajakh tekun khut bue i mesukukh te ngeluh;;History
Tah kae kae nimu Peh malet ku toh kae cekhok mu;;History
khut cakhe babai masakhakat Bagas organisasi si ni dikhiken ato ni tekhapken ni Bagas kute kite;;History
kakhne padangangen si kene babe belayakh;;History
kuase ne kute nde let cekhite khayat pe le peninggal pe bue tule buet ne tule hasil kute nde khut peninggalan pe;;History
malet ku toh kae pe nde nggo pusing takal pe nde nggo pusing takal pe;;History
bangun negakhe bangun si ni janji Ken ne;;History
Nemu Mahan kecanduen khut melawan me khang tue;;History
berkjuaang khekhut malet SE lebih kurangen;;History
let kalah khukum cambuk khut  taangn maket tentu tyhu;;History
kakhen mesjn ne si mahan se medalan te ndk gedi malet;;History
cidah ken kekukhangen kite te ngo toh ne kekukhangen te pot ye mekhimbang khut aku bekhati mende;;Story/narrative
Moto dampak ne Mahan kutecane makin maju bahan ne;;History
kakhne tong ni hakhgai khut di sanjung sanjung;;History
kahene tong geluh ne soh sendah sede lebe;;History
dokter un ndauni kalak sakit te maket let dokter malet nemu tebantu kalak sakit e;;History
kune kase sehart kase nemu lajang laus dauh;;History
uwe tekhe pe sah tekhe kokao senang ano natemu geluh;;History
nemu juahken kami si sakit nde sebab Kalak di;;History
tekhe natemua akh daoe kokao pot geluh mu dalani ye;;History
munyanh ateku bamu malet get ateku kotoh geluhbsade ko bedih;;History
dape pe sah laus to kau bedih mak polu pe kau no;;History
Seni ni kutecane nde mbue si mejile tong misalne bage tari daerah;;History
laus to kau bedih mak polu pe kau no da akhh;;History
munyang ateku ngidsh kae maso ko cekhok aku kotoh Kin;;History
cerite zaman die tong teriget soh sendah bage kisah si layakh;;History
cakhe nyimpan sen kune Kase metambah khut cakhe sembahyang tekhatukh;;Story/narrative
Bagas hal keingin tahuen ku kekhine tentang dunie nde;;Story/narrative
nangat aku metohi kune khase ne jadi gukhu ni sekolah²;;Story/narrative
uwe tekhe pe sah dape kokap pot laus to ko bedih;;History
uwe makae senang aku gedipe nimu te khut kau e;;History
Babai mecekho tentang kae hobi ne tanyak;;Story/narrative
tentang nemu kite ato khak awene akhi khut sifatne;;Story/narrative
jujukh sabakh tenang khut tekhime kenyataan;;Story/narrative
Mahan maju negare khut peraturen  baru si nibahan ne;;History
uwe makae kune kokap senang dalani plin ye;;History
uwe makae bage laye kidah kau no pe da akhh;;History
si lebih baik ne atau v si lebih pantas kite lakuken;;History
tekhe natemu geluh mu kae gat aku atukh se akh;;History
Pas pilkada mbue Kalak dapet sen Kase milih iyee jadi;;History
uwe tekhe oe sah dalani to ngo laus gat beidh;iya gimana udh sah jalani aja udh pergi trus sana;History
uwe makae senang akungedi pe asal khut kau e;;History
laus gat bedih mak polu pe kau mak gune ne ande pe;;Culture/Tourism
laus toh bedih mak;;Culture/Tourism
pekhang dapat mengubah pola pikhekh masyarakat bahwe perdamain abadi mekhupaken hal yang sangat penting;;History
laus gat maso nange khoh bende na mak nange megang kau;;Culture/Tourism
politik si nemu mengkeken contoh baik ne;;History
mbue Lawe mengale dan mbue kas wisata ne;;Culture/Tourism
bagd laye kidah pe kau da dape natemu ano akh;;Culture/Tourism
cimpe dan khikhis adalah penangan khang alas si paling taboh;;Culture/Tourism
kerap kau bedih tekhe natemu akh munyabg aku;;Culture/Tourism
terserah kau bedih daoe kokao pot bage laye;;Culture/Tourism
wisata ketambe, wisata si baik ne si lebih baik ne;;Culture/Tourism
luarkh daerah contoh ne bage beras tagi khut daerah lainne;;Culture/Tourism
akhhh kune pe sah dape natemu dalan i kau ano;;Culture/Tourism
uwee bagee laye kidah kau da tekhe natemu ak;;Culture/Tourism
sekolah semule cenek akhi sampe soh belin;;Culture/Tourism
uweee akhh panek aku ngidsh kau no mak gune ne;;Culture/Tourism
membentuk persesif baik ne si lebih jujukh;;Culture/Tourism
gunung leuser aceh sebab sangat mejile dan udakhe ne sejuk;;Culture/Tourism
motor sewe khut becak si medalan soh boon;;Culture/Tourism
hal si lebih mantap ne, si lebih keren lah daripada lain ne;;Culture/Tourism
mbayu sumpit khut Amak batang Kuang akhi;;Culture/Tourism
bage misalne majun untuk Kalak bakhu melahehen;;Culture/Tourism
